model-1587409902,1587409917.756,0.55,0.249,0.51,0.2506,0
model-1587409902,1587409917.813,0.61,0.2254,0.49,0.256,0
model-1587409902,1587409917.87,0.5,0.259,0.49,0.2564,0
model-1587409902,1587409917.927,0.56,0.2374,0.49,0.2543,0
model-1587409902,1587409917.983,0.61,0.2217,0.51,0.2509,0
model-1587409902,1587409918.04,0.51,0.2543,0.53,0.2449,0
model-1587409902,1587409918.096,0.62,0.2365,0.6,0.24,0
model-1587409902,1587409918.152,0.51,0.2503,0.6,0.2352,0
model-1587409902,1587409918.209,0.63,0.2341,0.61,0.2321,0
model-1587409902,1587409918.266,0.59,0.2425,0.58,0.231,0
model-1587409902,1587409918.323,0.55,0.2393,0.58,0.2308,0
model-1587409902,1587409918.379,0.59,0.2327,0.6,0.2317,0
model-1587409902,1587409918.436,0.59,0.2382,0.59,0.2332,0
model-1587409902,1587409918.494,0.57,0.2461,0.6,0.237,0
model-1587409902,1587409918.551,0.64,0.2245,0.55,0.24,0
model-1587409902,1587409918.607,0.6,0.2346,0.56,0.2404,0
model-1587409902,1587409918.664,0.6,0.235,0.55,0.2396,0
model-1587409902,1587409918.722,0.63,0.2335,0.58,0.2376,0
model-1587409902,1587409918.778,0.6,0.2371,0.57,0.2349,0
model-1587409902,1587409918.835,0.62,0.2261,0.62,0.2319,0
model-1587409902,1587409918.891,0.64,0.2305,0.59,0.232,0
model-1587409902,1587409918.949,0.59,0.2405,0.6,0.2317,0
model-1587409902,1587409919.005,0.59,0.2332,0.59,0.2354,0
model-1587409902,1587409919.062,0.66,0.2191,0.57,0.2445,0
model-1587409902,1587409919.118,0.6,0.233,0.52,0.2499,0
model-1587409902,1587409919.175,0.57,0.2369,0.53,0.2477,0
model-1587409902,1587409919.232,0.63,0.2182,0.56,0.2448,0
model-1587409902,1587409919.288,0.66,0.2188,0.55,0.2418,0
model-1587409902,1587409919.345,0.57,0.2413,0.62,0.2364,0
model-1587409902,1587409919.402,0.5,0.2472,0.59,0.2345,0
model-1587409902,1587409919.46,0.57,0.2502,0.59,0.2335,0
model-1587409902,1587409919.516,0.78,0.1847,0.61,0.2362,0
model-1587409902,1587409919.573,0.51,0.255,0.6,0.235,0
model-1587409902,1587409919.629,0.55,0.2415,0.6,0.2355,0
model-1587409902,1587409919.685,0.67,0.2187,0.58,0.2372,0
model-1587409902,1587409919.742,0.57,0.2385,0.55,0.2388,0
model-1587409902,1587409919.798,0.6,0.2281,0.55,0.2415,0
model-1587409902,1587409919.855,0.56,0.2367,0.57,0.2395,0
model-1587409902,1587409919.912,0.56,0.2235,0.63,0.2328,0
model-1587409902,1587409919.969,0.58,0.238,0.61,0.2283,0
model-1587409902,1587409920.027,0.69,0.243,0.56,0.2286,0
model-1587409902,1587409920.083,0.64,0.2141,0.58,0.2295,0
model-1587409902,1587409920.139,0.65,0.2164,0.58,0.2276,0
model-1587409902,1587409920.196,0.6,0.2476,0.59,0.2312,0
model-1587409902,1587409920.252,0.62,0.2278,0.6,0.2417,0
model-1587409902,1587409920.309,0.63,0.2391,0.61,0.2472,0
model-1587409902,1587409920.366,0.59,0.2214,0.6,0.246,0
model-1587409902,1587409920.423,0.57,0.2266,0.61,0.2401,0
model-1587409902,1587409920.479,0.59,0.2324,0.62,0.2308,0
model-1587409902,1587409920.537,0.63,0.2212,0.57,0.231,0
model-1587409902,1587409920.593,0.71,0.2204,0.6,0.2384,0
model-1587409902,1587409920.65,0.58,0.2595,0.57,0.2312,0
model-1587409902,1587409920.706,0.61,0.237,0.63,0.2283,0
model-1587409902,1587409920.764,0.65,0.2278,0.63,0.2308,0
model-1587409902,1587409920.82,0.55,0.2382,0.62,0.2362,0
model-1587409902,1587409920.876,0.61,0.2224,0.62,0.2404,0
model-1587409902,1587409920.934,0.57,0.2282,0.62,0.2441,0
model-1587409902,1587409920.99,0.69,0.2133,0.55,0.2558,0
model-1587409902,1587409921.047,0.57,0.2356,0.52,0.2614,0
model-1587409902,1587409921.103,0.58,0.2504,0.56,0.2532,0
model-1587409902,1587409921.16,0.54,0.2538,0.62,0.2394,0
model-1587409902,1587409921.217,0.59,0.2387,0.63,0.2311,0
model-1587409902,1587409921.273,0.64,0.2403,0.55,0.2296,0
model-1587409902,1587409921.329,0.55,0.2503,0.57,0.2299,0
model-1587409902,1587409921.386,0.6,0.2353,0.55,0.2308,0
model-1587409902,1587409921.443,0.55,0.2211,0.6,0.2321,0
model-1587409902,1587409921.499,0.52,0.247,0.61,0.2345,0
model-1587409902,1587409921.555,0.65,0.2274,0.6,0.2371,0
model-1587409902,1587409921.612,0.58,0.2429,0.6,0.2357,0
model-1587409902,1587409921.669,0.65,0.2237,0.61,0.2336,0
model-1587409902,1587409921.726,0.69,0.2165,0.61,0.2315,0
model-1587409902,1587409921.782,0.67,0.2244,0.62,0.231,0
model-1587409902,1587409921.838,0.55,0.2387,0.63,0.2293,0
model-1587409902,1587409921.895,0.52,0.2353,0.62,0.2253,0
model-1587409902,1587409921.953,0.48,0.2484,0.63,0.2241,0
model-1587409902,1587409922.01,0.66,0.2172,0.61,0.224,0
model-1587409902,1587409922.066,0.57,0.2424,0.62,0.2246,0
model-1587409902,1587409922.123,0.77,0.194,0.67,0.2274,0
model-1587409902,1587409922.179,0.67,0.2198,0.68,0.2269,0
model-1587409902,1587409922.235,0.61,0.2334,0.64,0.2246,0
model-1587409902,1587409922.292,0.57,0.2273,0.63,0.2244,0
model-1587409902,1587409922.349,0.61,0.238,0.67,0.2258,0
model-1587409902,1587409922.405,0.63,0.2282,0.65,0.2296,0
model-1587409902,1587409922.463,0.66,0.2143,0.63,0.2331,0
model-1587409902,1587409922.521,0.6,0.2446,0.65,0.2279,0
model-1587409902,1587409922.578,0.57,0.2498,0.6,0.225,0
model-1587409902,1587409922.634,0.58,0.25,0.57,0.2272,0
model-1587409902,1587409922.69,0.64,0.2193,0.58,0.2283,0
model-1587409902,1587409922.747,0.66,0.2249,0.57,0.2299,0
model-1587409902,1587409922.805,0.63,0.2382,0.57,0.2334,0
model-1587409902,1587409922.861,0.63,0.234,0.56,0.2376,0
model-1587409902,1587409922.917,0.65,0.2193,0.56,0.2391,0
model-1587409902,1587409922.975,0.64,0.2239,0.55,0.2394,0
model-1587409902,1587409923.031,0.6,0.2286,0.55,0.2381,0
model-1587409902,1587409923.087,0.58,0.2361,0.57,0.2367,0
model-1587409902,1587409923.144,0.49,0.261,0.57,0.234,0
model-1587409902,1587409923.2,0.72,0.2045,0.59,0.2321,0
model-1587409902,1587409923.257,0.58,0.2416,0.59,0.2301,0
model-1587409902,1587409923.314,0.76,0.1994,0.58,0.2307,0
model-1587409902,1587409923.37,0.66,0.2107,0.61,0.2261,0
model-1587409902,1587409923.427,0.67,0.2086,0.6,0.2249,0
model-1587409902,1587409923.484,0.56,0.2407,0.61,0.225,0
